0972683275,B00HFRWWAM,5.0,4.409356725146199
0972683275,B00E12FJK4,4.0,4.2
7799813393,B005JACJ50,5.0,4.52972972972973
9966694544,B0016BVKAQ,4.0,4.147368421052631
B000001OM5,B007WTAJTO,4.0,4.587589013224822
B00000IGBF,B0088CJT4U,4.0,4.060075093867334
B00000IGBF,B005DOUJL8,3.5,4.378571428571429
B00000J060,B003ES5ZUU,4.5,4.800386193579532
B00000J060,B00DR0PDNE,4.0,3.997893628225382
B00000J1E6,B00007E7JU,4.5,4.588741204065676
B00000J3UH,B001TH7GUU,5.0,4.829289428076256
B00000J4GE,B00AQRUW4Q,4.5,4.0
B00000J4L8,B0015DYMVO,5.0,4.197056418642682
B00000J4L8,B000HPV3RW,5.0,4.611538461538461
B00000J4L8,B0014J07R2,4.0,3.8473282442748094
B00000J4L8,B002Y6CJJ8,4.0,4.662682602921647
B00000JBJQ,B003LR7ME6,4.0,4.475903614457831
B00000JDF8,B003ES5ZUU,5.0,4.800386193579532
B00001P4ZR,B005I6EU48,3.5,4.363636363636363
B0000226IH,B000N99BBC,5.0,4.738292011019284
B0000226IH,B009NHWVIA,5.0,4.582554517133956
B0000226IH,B006EKIQYM,5.0,4.540603248259861
B0000226IH,B008HK50ZA,4.5,4.493150684931507
B000023VW2,B004R929AY,3.5,4.647058823529412
B000023VW2,B009AR2MQO,3.5,3.5142857142857142
B00002MZ8G,B001PIBE8I,5.0,4.309597523219814
B00002MZ8G,B0097BEFYA,5.0,4.357554786620531
B00002MZ8G,B00009W3TY,4.5,3.963302752293578
B00002MZ8G,B000M2GYF6,4.5,4.523560209424084
B00003006E,B001GTT0VO,5.0,4.546822742474917
B0000303I7,B003LSTD38,5.0,4.776595744680851
B000031WCH,B00182CIB8,4.5,4.429752066115703
B000031WCH,B001OORMVQ,4.5,3.7108753315649867
B000031WCH,B007S642BW,4.0,3.7900552486187844
B0000326O1,B00009XVCZ,4.0,4.556745182012848
B0000326O3,B00JNAA54O,3.5,4.352941176470588
B00003CWEX,B004U78J1G,5.0,4.12962962962963
B00003CWFA,B009NHWVIA,5.0,4.582554517133956
B00003CWFA,B00AGAS6XW,4.5,4.363636363636363
B00003CWFA,B00EYTI0TG,3.5,4.285714285714286
B00003CWG4,B005AZ7BE8,4.5,4.25
